ACARA SML ID,AGE ID,Notes,School Name,Contact Name,Position,Contact Number,Email,Suburb,State,Postcode,School Sector,School Type,School URL,Screenrights License Yes/No,Year Range,Geolocation,Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),individual account
43579,1673,,St Johns College,,,,,Dubbo,NSW,2830,Catholic,Secondary,http://www.stjohnsdubbo.catholic.edu.au/,Yes,7-12,Inner Regional,85,77.3,44,31.8,971,505,466,965,11,8,Yes
50369,29003,,Makybe Rise Primary School,,,,,Baldivis,WA,6171,Government,Primary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5824,Yes,K-6,Major Cities,61,50.4,33,27.3,970,487,483,923.2,2,42,Yes
52276,6673,,Fremantle College,,,,,Beaconsfield,WA,6162,Government,Secondary,,Yes,7-12,Major Cities,79,75.3,38,28.1,970,423,547,970,10,32,most likely
43863,1534,,Roseville College,,,,,Roseville,NSW,2069,Independent,Combined,http://www.rosevillecollege.com,Yes,K-12,Major Cities,110,100.4,44,39.8,965,965,0,965,0,15,Yes
43990,16721,,Richard Johnson Anglican School,,,,,Oakhurst,NSW,2761,Independent,Combined,http://www.rjas.nsw.edu.au,Yes,K-12,Major Cities,70,65.8,32,25.5,965,467,498,965,1,57,Yes
45964,16965,,Mount St Joseph Girls' College,,,,,Altona,VIC,3018,Catholic,Secondary,http://www.msj.vic.edu.au,Yes,7-12,Major Cities,73,66.3,32,28.3,967,967,0,966.7,0,29,Yes
40372,1648,,St Francis Xavier's College,,,,,Hamilton,NSW,2303,Catholic,Secondary,http://hamilton.catholic.edu.au,Yes,11-12,Major Cities,99,89.1,21,13.3,964,521,443,963.6,4,9,most likely
45752,792,,Genazzano FCJ College,,,,,Kew,VIC,3101,Catholic,Combined,http://www.genazzano.vic.edu.au,Yes,Prep-12,Major Cities,112,99.1,72,61.4,966,966,0,966,1,7,Yes
42091,9191,,Maitland High School,,,,,East Maitland,NSW,2323,Government,Secondary,http://www.maitlandhigh.com.au/,Yes,"U, 7-12",Major Cities,64,72.3,22,15.8,963,452,511,962.8,15,5,Yes
41834,17849,,Plumpton High School,,,,,Plumpton,NSW,2761,Government,Secondary,http://www.plumpton-h.schools.nsw.edu.au,Yes,"U, 7-12",Major Cities,60,74.6,14,16.8,962,474,488,961.4,10,43,most likely
45162,14870,,Mill Park Heights Primary School,,,,,Mill Park,VIC,3082,Government,Primary,http://www.millparkhtsps.vic.edu.au,Yes,Prep-6,Major Cities,65,56.3,24,17.2,965,473,492,965,2,58,Yes
40388,2522,,Mt Maria College,,,,,Mitchelton,QLD,4053,Catholic,Secondary,http://www.mtmaria.com.au,Yes,7-12,Major Cities,73,69.7,54,38.7,961,489,472,961,2,4,Yes
45407,5158,,Koo Wee Rup Secondary College,,,,,Koo Wee Rup,VIC,3981,Government,Secondary,http://www.kwrsc.vic.edu.au,Yes,7-12,Inner Regional,82,75.4,22,16.5,964,514,450,962.7,1,5,Yes
